FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
1525044,Ridley Creek,Stream,WA,53,Whatcom,73,484329N,1215355W,48.7248397,-121.8984815,484352N,1215052W,48.7312295,-121.8476466,790,2592,Twin Sisters Mountain,9/10/79,
1525045,Ridley Lake,Lake,WA,53,Whatcom,73,485656N,1210152W,48.9488872,-121.0309913,,,,,960,3150,Hozomeen Mountain,9/10/79,4/22/19
1525053,Riley Lake,Lake,WA,53,Snohomish,61,481447N,1215649W,48.246403,-121.9469157,,,,,159,522,Riley Lake,9/10/79,5/14/19
1525054,Riley Slough,Stream,WA,53,Snohomish,61,474926N,1220047W,47.823988,-122.0131805,475001N,1215806W,47.833649,-121.968362,10,33,Maltby,9/10/79,3/8/18
1525060,Ring Lake,Lake,WA,53,Clallam,9,475544N,1235610W,47.9288779,-123.9361171,,,,,878,2881,Slide Peak,9/10/79,4/9/19
1525062,Rinker Creek,Stream,WA,53,Skagit,57,482217N,1213318W,48.3715017,-121.5551276,482437N,1213701W,48.4103909,-121.6170759,103,338,Darrington,9/10/79,
1525064,Rinker Ridge,Ridge,WA,53,Skagit,57,482632N,1213949W,48.4423593,-121.6635836,,,,,1154,3786,Finney Peak,9/10/79,3/19/20
1525065,Ripley Creek,Stream,WA,53,Jefferson,31,475200N,1225420W,47.8667576,-122.9054443,475422N,1225542W,47.9062018,-122.9282238,105,344,Mount Walker,9/10/79,
1525066,Riprap Creek,Stream,WA,53,Whatcom,73,484345N,1210422W,48.7292961,-121.0728981,484425N,1210537W,48.7402778,-121.0936111,367,1204,Ross Dam,9/10/79,
1525071,River Campground,Locale,WA,53,Clallam,9,475335N,1230653W,47.8931464,-123.1146173,,,,,646,2119,Mount Zion,12/31/92,
1525078,Rivord Lake,Lake,WA,53,Snohomish,61,481247N,1211228W,48.2130181,-121.2078521,,,,,1622,5321,Lime Mountain,9/10/79,5/14/19
1525079,Rixon Creek,Stream,WA,53,Clallam,9,475550N,1225612W,47.930646,-122.9365583,475459N,1225736W,47.9163889,-122.96,270,886,Uncas,9/10/79,
1525082,Roaring Creek,Stream,WA,53,King,33,472129N,1213558W,47.3581637,-121.5995439,472136N,1213431W,47.36,-121.5752778,508,1667,Findley Lake,9/10/79,
1525087,Roaring Creek,Stream,WA,53,Skagit,57,483606N,1220520W,48.6017783,-122.0887639,483438N,1220703W,48.5772222,-122.1175,227,745,Lyman,9/10/79,
1525091,Robbins Lake,Lake,WA,53,Mason,45,472541N,1230450W,47.4281885,-123.080682,,,,,142,466,Lilliwaup,9/10/79,5/17/19
1525092,Robe,Populated Place,WA,53,Snohomish,61,480550N,1214848W,48.0973255,-121.8134608,,,,,271,889,Verlot,9/10/79,
1525094,Robertson Creek,Stream,WA,53,Grays Harbor,27,471957N,1233319W,47.3325899,-123.5551666,472113N,1233129W,47.3536111,-123.5247222,231,758,Grisdale,9/10/79,
1525107,Rock Cabin,Locale,WA,53,Skagit,57,483440N,1205952W,48.5779069,-120.9978919,,,,,1068,3504,Mount Logan,9/10/79,
1525108,Rock Cabin Avalanche,Cliff,WA,53,Skagit,57,483451N,1205929W,48.5809626,-120.9915029,,,,,1175,3855,Mount Logan,9/10/79,
1525109,Rock Creek,Stream,WA,53,Clark,11,454625N,1222642W,45.7737267,-122.4450956,454927N,1222645W,45.8241667,-122.4458333,110,361,Yacolt,9/10/79,
1525114,Rock Creek,Stream,WA,53,Mason,45,470918N,1231026W,47.1550946,-123.173763,471029N,1231205W,47.1747222,-123.2013889,52,171,Shelton Valley,9/10/79,
1525115,Rock Creek,Stream,WA,53,Grays Harbor,27,471657N,1234652W,47.2825887,-123.7810038,471652N,1234508W,47.2811111,-123.7522222,117,384,Burnt Hill,9/10/79,
1525116,Rock Creek,Stream,WA,53,King,33,472433N,1213442W,47.4092755,-121.5784319,472245N,1213555W,47.3791667,-121.5986111,451,1480,Bandera,9/10/79,
1525117,Rock Creek,Stream,WA,53,King,33,472930N,1212614W,47.4917789,-121.4373166,472810N,1212700W,47.4694444,-121.45,451,1480,Snoqualmie Pass,9/10/79,
1525122,Rock Creek,Stream,WA,53,Clark,11,454853N,1222202W,45.8148364,-122.3673168,454434N,1221437W,45.7428925,-122.2437018,187,614,Dole,9/10/79,
1525123,Rock Creek,Stream,WA,53,Clark,11,455007N,1223154W,45.8353924,-122.5317651,455414N,1222926W,45.9040016,-122.4906546,65,213,Battle Ground,9/10/79,
1525125,Rock Creek,Stream,WA,53,King,33,471211N,1213157W,47.2031655,-121.5325955,470945N,1212832W,47.1626112,-121.4756489,471,1545,Nagrom,9/10/79,
1525126,Flat Creek,Stream,WA,53,Mason,45,472217N,1231845W,47.3714802,-123.3123826,472203N,1231900W,47.3675,-123.3166667,202,663,Vance Creek,12/31/92,
